City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
430,Yazman,PK,65.62,overcast clouds,29.1212,71.7446,Malik House
431,Ouesso,CG,68.99,moderate rain,1.6136,16.0517,ABENIE Hotel
433,Serra Talhada,BR,72.86,broken clouds,-7.9919,-38.2983,Pousada São Luiz
435,Edd,ER,82.89,clear sky,13.9297,41.6925,
436,Santiago Del Estero,AR,82.65,broken clouds,-27.7951,-64.2615,Apartamentos Castelli 90
437,Luba,GQ,79.18,light rain,3.4568,8.5547,
438,Conde,BR,75.29,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
440,Okitipupa,NG,73.45,light rain,6.5047,4.7839,Coastal Hotel & Suites
446,Virginia Beach,US,71.62,scattered clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
447,Uribia,CO,79.03,overcast clouds,11.7139,-72.266,Hotel Uribia
448,Kalulushi,ZM,66.42,light rain,-12.8378,28.0919,Nobutula Lodge
449,Mahibadhoo,MV,81.19,clear sky,3.7833,72.9667,Omadhoo Inn
450,Kadhan,PK,72.37,clear sky,24.481,68.9859,ڳوٺ چوڌري جلال الدين جٽ
453,Gorahun,SL,72.55,moderate rain,7.4661,-11.2375,
455,Curvelo,BR,70.47,overcast clouds,-18.7564,-44.4308,Pontal Plaza Hotel
456,Marsa Matruh,EG,67.75,clear sky,31.3525,27.2453,Beau Site
458,Masuguru,TZ,71.2,broken clouds,-11.3667,38.4167,
459,Pozo Colorado,PY,69.15,few clouds,-23.4923,-58.7972,Hospedaje La Norteña
460,Ouadda,CF,69.49,few clouds,8.0777,22.4007,
462,Puerto Ayora,EC,66.54,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
467,Micheweni,TZ,75.87,light rain,-4.9667,39.8333,
468,Curillo,CO,72.39,broken clouds,1.0333,-75.9191,CASA CLUB
471,Los Angeles,US,66.02,clear sky,34.0522,-118.2437,Kawada Hotel
472,Plettenberg Bay,ZA,66.33,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
474,Ratnapura,LK,77.07,scattered clouds,6.6828,80.3992,Hotel Helenium
477,Calvinia,ZA,69.58,overcast clouds,-31.4707,19.776,Die Lemoenhuis
480,Rosa Zarate,EC,73.58,few clouds,0.3333,-79.4667,Piscinas y Recepciones Hecalash
483,Balod,IN,68.68,few clouds,20.73,81.2047,CJM Bunglow
489,Domoni,KM,75.15,few clouds,-12.2569,44.5319,Al Djadid
490,Aguilas,ES,65.05,clear sky,37.4063,-1.5829,Hotel Carlos III
493,Puerto Carreno,CO,78.66,few clouds,6.189,-67.4859,Casa Hotel Victoria
495,Palmas Bellas,PA,79.34,light rain,9.2319,-80.0867,Antigua Residencia Galván
496,Natal,BR,79.45,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
497,Benguela,AO,74.21,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
499,Padang,ID,78.85,light rain,-0.9492,100.3543,Mercure Padang
500,Beloha,MG,70.16,overcast clouds,-25.1667,45.05,
501,Totness,SR,78.8,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
505,Gambo,CF,68.4,overcast clouds,4.6482,22.2633,
507,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
508,Pokaran,IN,73.06,scattered clouds,26.9167,71.9167,Motel Pokaran - RTDC
