City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Lagoa,PT,2022-10-29 21:06:53,39.05,-27.9833,17.52,66,100,5.78
70,Punta Arenas,CL,2022-10-29 21:06:53,-53.15,-70.9167,5.62,81,38,13.42
71,Cururupu,BR,2022-10-29 21:06:54,-1.8283,-44.8683,26.33,76,100,2.37
72,Botwood,CA,2022-10-29 21:06:55,49.1499,-55.3482,10.5,60,84,6.45
73,Mpika,ZM,2022-10-29 21:06:56,-11.8343,31.4529,21.33,36,19,3.44
74,Bathsheba,BB,2022-10-29 21:06:57,13.2167,-59.5167,27.34,89,20,5.66
75,Honningsvag,NO,2022-10-29 21:06:57,70.9821,25.9704,2.86,52,40,8.75
76,Agadir,MA,2022-10-29 21:02:32,30.4202,-9.5982,26.25,26,100,1.97
77,Mana,GF,2022-10-29 21:06:58,5.6592,-53.7767,25.47,86,100,5.07
78,San Rafael,AR,2022-10-29 21:06:59,-34.6177,-68.3301,29.16,18,76,2.71
79,Pangnirtung,CA,2022-10-29 21:06:59,66.1451,-65.7125,-9.98,72,21,4.66
80,Castro,BR,2022-10-29 21:07:00,-24.7911,-50.0119,15.61,96,79,4.51
81,Nyrob,RU,2022-10-29 21:07:01,60.733,56.7202,0.09,95,100,4.08
82,Savelugu,GH,2022-10-29 21:07:02,9.6244,-0.8253,27.51,39,0,1.56
83,Touros,BR,2022-10-29 21:02:22,-5.1989,-35.4608,25.95,73,19,7.18
84,Manaus,BR,2022-10-29 21:06:24,-3.1019,-60.025,30.28,74,75,2.06
85,Bambous Virieux,MU,2022-10-29 21:07:04,-20.3428,57.7575,21.79,80,20,4.01
86,Goderich,CA,2022-10-29 21:07:05,43.7501,-81.7165,12.17,65,5,1.45
87,Carvalhosa,PT,2022-10-29 21:03:14,41.3006,-8.3608,15.22,93,100,1.46
88,Jasdan,IN,2022-10-29 21:06:18,22.0333,71.2,24.37,38,0,2.2
89,Hambantota,LK,2022-10-29 21:07:07,6.1241,81.1185,25.9,76,100,0.63
90,Bredasdorp,ZA,2022-10-29 21:07:07,-34.5322,20.0403,17.63,76,100,3.19
91,Tarpon Springs,US,2022-10-29 21:07:08,28.1461,-82.7568,30.64,66,0,2.68
92,Sao Filipe,CV,2022-10-29 21:07:08,14.8961,-24.4956,27.01,69,89,4.3
93,Akdepe,TM,2022-10-29 21:07:09,42.0551,59.3788,10.83,59,34,5.56
94,Narsaq,GL,2022-10-29 21:03:13,60.9167,-46.05,-0.88,76,54,3.56
95,East London,ZA,2022-10-29 21:08:10,-33.0153,27.9116,21.88,77,67,4.98
96,Torbay,CA,2022-10-29 21:07:38,47.6666,-52.7314,10.15,76,2,3.58
97,Presidencia Roque Saenz Pena,AR,2022-10-29 21:08:12,-26.7852,-60.4388,39.99,18,0,3.48
98,Garmsar,IR,2022-10-29 21:08:12,35.2182,52.3409,16.55,50,97,2.62
99,Margate,GB,2022-10-29 21:08:13,51.3813,1.3862,17.05,84,90,1.34
100,Lima,PE,2022-10-29 21:06:20,-12.0432,-77.0282,16.14,77,100,3.6
101,Qaanaaq,GL,2022-10-29 21:08:14,77.484,-69.3632,-23.65,65,0,4.17
102,Saint-Louis,SN,2022-10-29 21:08:15,16.3333,-15.0,32.82,12,99,3.59
103,Turukhansk,RU,2022-10-29 21:08:16,65.8167,87.9833,-5.36,95,100,6.58
104,Souillac,MU,2022-10-29 21:07:27,-20.5167,57.5167,21.88,83,17,3.78
105,Axim,GH,2022-10-29 21:08:17,4.8699,-2.2405,26.03,85,77,2.59
106,Kolaras,IN,2022-10-29 21:08:18,25.2333,77.6,19.31,59,0,2.52
107,Kudahuvadhoo,MV,2022-10-29 21:08:19,2.6708,72.8944,27.2,75,27,5.12
108,Key Largo,US,2022-10-29 21:06:05,25.0865,-80.4473,28.89,76,0,6.61
109,Rabo De Peixe,PT,2022-10-29 21:03:36,37.8,-25.5833,17.73,95,20,3.6
110,Elat,IL,2022-10-29 21:05:05,29.5581,34.9482,24.91,47,0,2.57
111,Brae,GB,2022-10-29 21:08:22,60.3964,-1.353,10.59,88,3,6.72
112,Scarborough,GB,2022-10-29 21:05:30,54.2797,-0.4044,15.74,91,100,3.13
113,Clyde River,CA,2022-10-29 21:08:23,70.4692,-68.5914,-17.72,92,99,1.92
114,Hithadhoo,MV,2022-10-29 21:08:23,-0.6,73.0833,26.98,79,100,5.02
115,Upernavik,GL,2022-10-29 21:08:24,72.7868,-56.1549,-9.34,63,67,5.58
116,Tasiilaq,GL,2022-10-29 21:08:25,65.6145,-37.6368,3.09,98,100,7.78
117,Suksun,RU,2022-10-29 21:08:25,57.1431,57.3949,-0.94,94,100,4.32
118,Valley,US,2022-10-29 21:08:26,45.1277,-116.1262,6.45,53,0,2.06
119,Mar Del Plata,AR,2022-10-29 21:08:26,-38.0023,-57.5575,16.57,73,21,2.24
120,Mangrol,IN,2022-10-29 21:08:27,21.1167,70.1167,26.29,55,0,1.23
121,Saint-Philippe,RE,2022-10-29 21:08:28,-21.3585,55.7679,20.77,82,39,3.22
122,Mantua,IT,2022-10-29 21:08:28,45.1667,10.7833,15.58,84,7,2.18
123,Tabuk,PH,2022-10-29 21:08:29,17.4189,121.4443,23.64,98,100,0.9
124,Itanhem,BR,2022-10-29 21:08:29,-17.1664,-40.33,25.99,68,6,6.66
125,Puerto Maldonado,PE,2022-10-29 21:08:30,-12.6,-69.1833,31.22,66,20,2.06
126,Gazli,UZ,2022-10-29 21:08:31,40.1333,63.45,11.67,83,100,7.65
127,Savannah Bight,HN,2022-10-29 21:08:31,16.45,-85.85,28.12,68,29,2.43
128,Saint-Ambroise,CA,2022-10-29 21:08:32,48.5501,-71.3324,11.99,45,100,4.29
129,Sisimiut,GL,2022-10-29 21:08:32,66.9395,-53.6735,-1.82,83,100,4.18
